,title,description,Date,Rating,Names
0,Great disinfectant.,"Clorox wipes definitely do a good job in cleaning surfaces. I use the for everything. The only problem is that the wipes do not pick up dust well. However it gather it while you wipe. Also, the wipes dry out pretty quickly so it seems they were really designed for a quick wipe. The new container is designed very well. It folds inwards so that you can grab the cloth without opening the top. When pulling the cloth the lids close and help you rip off the cloth from the roll.","October 6, 2010","Average Rating:
(
4.0
)
out of
5
stars",im10er
1,Great Buy!,"I was so pleased to find this on Walmart.com at such a reasonable price. I'll be wiping away for many months to come :) Great scent, as well!","October 16, 2010","Average Rating:
(
5.0
)
out of
5
stars",EastCoastDani
2,Great for home and office,I use these at home and at work and I can never have enough on hand.,"December 28, 2010","Average Rating:
(
5.0
)
out of
5
stars",americanidiot2
3,Great value,I love these wipes I always keep them on hand. Perfect for use in the kitchen and the bathroom.,"February 3, 2011","Average Rating:
(
5.0
)
out of
5
stars",GinaeIdina
4,"Clorox disinfecting wipes, an excellent product","I have always found Clorox disinfecting wipes to be an excellent product. We use it constantly in our household. For illness & clean up of the sickroom by wiping down all surfaces & equipment you prevent and/or cut down on cross contamination and the spreading of unwanted bacteria. Same with its' use in the bathroom.In the kitchen by using the wipes to clean the counter surfaces you are again helping to prevent the spread of germs ie: ecoil with raw meat. This clorox product just leaves everything clean & smelling so fresh. I try to always have in supply, and on hand
See more","March 28, 2011","Average Rating:
(
5.0
)
out of
5
stars",Pywacket1
5,Great Product,I use these all the time for quick cleaning every were,"April 28, 2011","Average Rating:
(
5.0
)
out of
5
stars",LUV2BY4ALL
6,great and easy!,"I like to use this product for its good quality, it is good to kill germs. I can use it in my home and office.","May 10, 2011","Average Rating:
(
5.0
)
out of
5
stars",DJ1990
7,Love these!,"These are great to have around to clean small areas quickly. I have also used them to clean big areas. I did not need to use much elbow grease when I used these to clean our bathroom's walls. When we rented our house, the bathroom had at least 10 years of nicotine buildup on the walls. Add some smoke buildup from me liking to burn candles, even in small, enclosed areas and I was looking at the walls as a major project. Thanks to these cleaning clothes, there was more time involved than effort. I did not have to scrub hard to clean the walls, but you can only clean a whole room so fast! I can't imagine how I lived without these!
See more","June 24, 2011","Average Rating:
(
5.0
)
out of
5
stars",happymama
8,great safe product,"Was a good price for the amount received. I prefer Lysol brand as the wipes are thicker and touger. Clorox brand could improve with stronger wipes and a better pulling system when the wipes come out as they are holding to much liquid. I love wipes for cleaning toilets after guest leave and as a final wipe on kitchen counters, computer keyboards and remote controls. Works great on automobile steering wheel and auto knobs as well. I like to carry extra's when I'm traveling...shopping carts, restrooms that don't have toilet seat covers.
See more","June 24, 2011","Average Rating:
(
3.0
)
out of
5
stars",kris
9,LOVE THESE!,"I absolutely love these wipes. They not only disinfect, but they CLEAN - which cannot be said of other wipes Ive tried. These are very moist as well, which helps lubricate the surface you are trying to clean, and these wipes are so good that even tough spots Ive wiped once and the problem was cleaned up immediately. Again others, I had to scrub and scrub.","August 18, 2011","Average Rating:
(
5.0
)
out of
5
stars",JKZAITER
10,"Sunny clean,",Clorox Disinfecting Wipes is one of my favorite cleaning products. It is convenient and leaves slight fragrance after use.,"December 3, 2011","Average Rating:
(
5.0
)
out of
5
stars",BusyB3
11,Really strong. Nice smell,"I can't imagine life without these. Way better than using plain paper towels and definitely better than using a germful sponge. And knowing that they disinfect, even better!","December 13, 2011","Average Rating:
(
5.0
)
out of
5
stars",Sweetcraftycat
12,Fresh & Clean smell,"The disinfecting wipes have been a life saver over the years for my office. Once a cold starts being passed around, I always use the wipes for my cube, phone, and computer (mouse and keyboard). They work great and smell good too!","December 13, 2011","Average Rating:
(
5.0
)
out of
5
stars",clean132
13,excellent product,"I love these wipes you can clean any type of spills, or just daily cleaning of the kitchen, bathroom, and almost every other room. I highly recommend!!!!","December 13, 2011","Average Rating:
(
5.0
)
out of
5
stars",pinkninja
14,Works on anything!!,"You can use the wipes to clean in your home or take them on the go. They are great for toilet seats, doorknobs, counter tops. anything you want to use them on.","December 19, 2011","Average Rating:
(
5.0
)
out of
5
stars",Eliza
15,love the smell,like the way it cleans the house and smells when u clean the house,"December 27, 2011","Average Rating:
(
5.0
)
out of
5
stars",tiffy56
16,the product smells great,love the way it cleans and smells my hole house clean,"January 14, 2012","Average Rating:
(
5.0
)
out of
5
stars",tiffy56
17,Works great!,Works great. We use them on just about everything.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",nascarnut
18,Best invention in the fight against germs.,I love these wipes. I use them everyday and even buy them for my kids' classrooms at school.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Juls66
19,I love how they smell,"I love how the lemon wipes smell for my kitchen. I keep clorox wipes in the kitchen, bathroom, laundry room and even in my car.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Mya2000
20,excellent cleaning wipe,"I love to use these wipes in the kitchen, on the counters, and stove. These wipes make clean up fast, and I love the lemon scent.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",AJeff
21,great cleaning wipes.,"I love to use these wipes in the bathroom, on almost all surfaces in the bathroom. They smell great, and do a quick easy job of cleaning.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",AJeff
22,great,makes my kitchen smell clean and spotless. I recommended this product to all my friends and family.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",acjuarez08
23,Great product,Very convenient for quick clean-ups. Love these wipes!,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",johns1005
24,Great Product,I love these wipes - they make cleaning the kitchen counter a breeze. They are easy to use and they smell better and are more moist than other brand wipes.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",r1888
25,great and easy!,"These are fabulous and so quick and easy. I use them in the kitchen and bath at home, as well as in my classroom at school to keep everything clean and germ free!","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",abrunell
26,Love these!,Having a toddler I am always picking up messes. These are fast and convinent and you don't have to worry about spraying chemicals!,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",happymama
